# InputPower(W),100.000,InputVoltage(V),10.000,InputCurrent(A),10.000
Time,Power(W),Voltage(V),Current(A)
'2025-11-24 14:35:31,10784.209,41.293,261.164
'2025-11-24 14:35:32,12402.911,44.347,279.678
'2025-11-24 14:35:33,13891.135,46.829,296.633
