# InputPower(W),100.000,InputVoltage(V),10.000,InputCurrent(A),10.000
Time,Power(W),Voltage(V),Current(A)
'2025-11-18 11:58:47,100.000,10.000,10.000
'2025-11-18 11:58:48,100.000,10.000,10.000
'2025-11-18 11:58:49,100.000,10.000,10.000
'2025-11-18 11:58:50,100.000,10.000,10.000
'2025-11-18 11:58:51,100.000,10.000,10.000
'2025-11-18 11:58:52,100.000,10.000,10.000
'2025-11-18 11:58:53,100.000,10.000,10.000
'2025-11-18 11:58:54,100.000,10.000,10.000
'2025-11-18 11:58:55,100.000,10.000,10.000
'2025-11-18 11:58:56,100.000,10.000,10.000
'2025-11-18 11:58:57,100.000,10.000,10.000
'2025-11-18 11:58:58,100.000,10.000,10.000
'2025-11-18 11:58:59,100.000,10.000,10.000
'2025-11-18 11:59:00,100.000,10.000,10.000
'2025-11-18 11:59:01,100.000,10.000,10.000
