# InputPower(W),100.000,InputVoltage(V),10.000,InputCurrent(A),10.000
Time,Power(W),Voltage(V),Current(A)
'2025-11-24 14:35:34,15161.160,48.641,311.696
'2025-11-24 14:35:35,16134.277,49.709,324.575
