# InputPower(W),100.000,InputVoltage(V),10.000,InputCurrent(A),10.000
Time,Power(W),Voltage(V),Current(A)
'2025-11-20 13:26:45,100.000,10.000,10.000
'2025-11-20 13:26:46,100.000,10.000,10.000
'2025-11-20 13:26:47,100.000,10.000,10.000
'2025-11-20 13:26:48,100.000,10.000,10.000
'2025-11-20 13:26:49,100.000,10.000,10.000
'2025-11-20 13:26:50,100.000,10.000,10.000
'2025-11-20 13:26:51,100.000,10.000,10.000
'2025-11-20 13:26:52,100.000,10.000,10.000
'2025-11-20 13:26:53,100.000,10.000,10.000
'2025-11-20 13:26:54,100.000,10.000,10.000
